fecha,valor
Jul-30-2020,3.5093
Jul-31-2020,3.5303
Aug-03-2020,3.5452
Aug-04-2020,3.5455
Aug-05-2020,3.5506
Aug-06-2020,3.5523
Aug-07-2020,3.5535
Aug-10-2020,3.5575
Aug-11-2020,3.5614
Aug-12-2020,3.5708
Aug-13-2020,3.5708
Aug-14-2020,3.5745
Aug-17-2020,3.5808
Aug-18-2020,3.5774
Aug-19-2020,3.5553
Aug-20-2020,3.5764
Aug-21-2020,3.5843
Aug-24-2020,3.5818
Aug-25-2020,3.5942
Aug-26-2020,3.5869
Aug-27-2020,3.5749
Aug-28-2020,3.5295
Aug-31-2020,3.5451
Sep-01-2020,3.5251
Sep-02-2020,3.531
Sep-03-2020,3.5425
Sep-04-2020,3.5578
Sep-07-2020,3.5342
Sep-08-2020,3.5455
Sep-09-2020,3.5329
Sep-10-2020,3.5409
Sep-11-2020,3.568
Sep-14-2020,3.567
Sep-15-2020,3.548
Sep-16-2020,3.5438
Sep-17-2020,3.5369
Sep-18-2020,3.5255
Sep-21-2020,3.5476
Sep-22-2020,3.5563
Sep-23-2020,3.5703
Sep-24-2020,3.5778
Sep-25-2020,3.576
Sep-28-2020,3.59
Sep-29-2020,3.5918
Sep-30-2020,3.5961
Oct-01-2020,3.6068
Oct-02-2020,3.6189
Oct-05-2020,3.6198
Oct-06-2020,3.5787
Oct-07-2020,3.5811
Oct-08-2020,3.5824
Oct-09-2020,3.568
Oct-12-2020,3.5888
Oct-13-2020,3.5917
Oct-14-2020,3.5858
Oct-15-2020,3.5875
Oct-16-2020,3.5787
Oct-19-2020,3.5918
Oct-20-2020,3.5848
Oct-21-2020,3.5991
Oct-22-2020,3.6038
Oct-23-2020,3.6069
Oct-26-2020,3.6044
Oct-27-2020,3.6072
Oct-28-2020,3.6099
Oct-29-2020,3.6125
Oct-30-2020,3.6157
Nov-02-2020,3.6135
Nov-03-2020,3.6081
Nov-04-2020,3.6029
Nov-05-2020,3.594
Nov-06-2020,3.5975
Nov-09-2020,3.5855
Nov-10-2020,3.6308
Nov-11-2020,3.6219
Nov-12-2020,3.6373
Nov-13-2020,3.6489
Nov-16-2020,3.6637
Nov-17-2020,3.6309
Nov-18-2020,3.5722
Nov-19-2020,3.5703
Nov-20-2020,3.5891
Nov-23-2020,3.598
Nov-24-2020,3.6048
Nov-25-2020,3.6083
Nov-26-2020,3.6053
Nov-27-2020,3.6076
Nov-30-2020,3.6097
Dec-01-2020,3.6029
Dec-02-2020,3.603
Dec-03-2020,3.5909
Dec-04-2020,3.5919
Dec-07-2020,3.6005
Dec-08-2020,3.601
Dec-09-2020,3.604
Dec-10-2020,3.6015
Dec-11-2020,3.596
Dec-14-2020,3.5876
Dec-15-2020,3.5945
Dec-16-2020,3.5843
Dec-17-2020,3.584
Dec-18-2020,3.5975
Dec-21-2020,3.6071
Dec-22-2020,3.6192
Dec-23-2020,3.6122
Dec-24-2020,3.6143
Dec-25-2020,3.6049
Dec-28-2020,3.617
Dec-29-2020,3.6173
Dec-30-2020,3.6178
Dec-31-2020,3.6153
Jan-01-2021,3.6019
Jan-04-2021,3.6235
Jan-05-2021,3.6315
Jan-06-2021,3.628
Jan-07-2021,3.6178
Jan-08-2021,3.6145
Jan-11-2021,3.62
Jan-12-2021,3.6045
Jan-13-2021,3.6133
Jan-14-2021,3.6055
Jan-15-2021,3.6112
Jan-18-2021,3.6126
Jan-19-2021,3.6075
Jan-20-2021,3.608
Jan-21-2021,3.622
Jan-22-2021,3.6345
Jan-25-2021,3.6445
Jan-26-2021,3.6236
Jan-27-2021,3.6543
Jan-28-2021,3.6248
Jan-29-2021,3.6385
Feb-01-2021,3.6405
Feb-02-2021,3.6203
Feb-03-2021,3.6395
Feb-04-2021,3.6443
Feb-05-2021,3.6192
Feb-08-2021,3.641
Feb-09-2021,3.6425
Feb-10-2021,3.639
Feb-11-2021,3.6385
Feb-12-2021,3.6465
Feb-15-2021,3.6452
Feb-16-2021,3.6505
Feb-17-2021,3.6515
Feb-18-2021,3.6515
Feb-19-2021,3.654
Feb-22-2021,3.656
Feb-23-2021,3.6543
Feb-24-2021,3.647
Feb-25-2021,3.6474
Feb-26-2021,3.6502
Mar-01-2021,3.6525
Mar-02-2021,3.6665
Mar-03-2021,3.6773
Mar-04-2021,3.6748
Mar-05-2021,3.6985
Mar-08-2021,3.7033
Mar-09-2021,3.7044
Mar-10-2021,3.6943
Mar-11-2021,3.6928
Mar-12-2021,3.7048
Mar-15-2021,3.721
Mar-16-2021,3.7065
Mar-17-2021,3.7078
Mar-18-2021,3.7058
Mar-19-2021,3.7153
Mar-22-2021,3.6875
Mar-23-2021,3.7185
Mar-24-2021,3.723
Mar-25-2021,3.7343
Mar-26-2021,3.7397
Mar-29-2021,3.7487
Mar-30-2021,3.7647
Mar-31-2021,3.7567
Apr-01-2021,3.7437
Apr-02-2021,3.7414
Apr-05-2021,3.7412
Apr-06-2021,3.6475
Apr-07-2021,3.5975
Apr-08-2021,3.5925
Apr-09-2021,3.6205
Apr-12-2021,3.645
Apr-13-2021,3.626
Apr-14-2021,3.6351
Apr-15-2021,3.6175
Apr-16-2021,3.6348
Apr-19-2021,3.6824
Apr-20-2021,3.6831
Apr-21-2021,3.7054
Apr-22-2021,3.7691
Apr-23-2021,3.7744
Apr-26-2021,3.8263
Apr-27-2021,3.8376
Apr-28-2021,3.7945
Apr-29-2021,3.7859
Apr-30-2021,3.7903
May-03-2021,3.8156
May-04-2021,3.8325
May-05-2021,3.7795
May-06-2021,3.815
May-07-2021,3.7985
May-10-2021,3.779
May-11-2021,3.7538
May-12-2021,3.7308
May-13-2021,3.678
May-14-2021,3.7285
May-17-2021,3.7035
May-18-2021,3.726
May-19-2021,3.7435
May-20-2021,3.751
May-21-2021,3.7795
May-24-2021,3.8035
May-25-2021,3.826
May-26-2021,3.8325
May-27-2021,3.8715
May-28-2021,3.7851
May-31-2021,3.8166
Jun-01-2021,3.8285
Jun-02-2021,3.8775
Jun-03-2021,3.8581
Jun-04-2021,3.7935
Jun-07-2021,3.9121
Jun-08-2021,3.9226
Jun-09-2021,3.8553
Jun-10-2021,3.875
Jun-11-2021,3.9048
Jun-14-2021,3.8931
Jun-15-2021,3.8553
Jun-16-2021,3.8986
Jun-17-2021,3.912
Jun-18-2021,3.9411
Jun-21-2021,3.9617
Jun-22-2021,3.9756
Jun-23-2021,3.978
Jun-24-2021,3.984
Jun-25-2021,3.9864
Jun-28-2021,3.8935
Jun-29-2021,3.8834
Jun-30-2021,3.8461
Jul-01-2021,3.8628
Jul-02-2021,3.8794
Jul-05-2021,3.8902
Jul-06-2021,3.9534
Jul-07-2021,3.9488
Jul-08-2021,3.9766
Jul-09-2021,3.9577
Jul-12-2021,3.9548
Jul-13-2021,3.9612
Jul-14-2021,3.9602
Jul-15-2021,3.9535
Jul-16-2021,3.9005
Jul-19-2021,3.9345
Jul-20-2021,3.9502
Jul-21-2021,3.95
Jul-22-2021,3.9407
Jul-23-2021,3.9186
Jul-26-2021,3.9055
Jul-27-2021,3.9145
Jul-28-2021,3.927
Jul-29-2021,3.9272
Jul-30-2021,4.0539
Aug-02-2021,4.0552
Aug-03-2021,4.0795
Aug-04-2021,4.075
Aug-05-2021,4.0645
Aug-06-2021,4.092
Aug-09-2021,4.10775
Aug-10-2021,4.05875
Aug-11-2021,4.0872
Aug-12-2021,4.098
Aug-13-2021,4.078
Aug-16-2021,4.075
Aug-17-2021,4.086
Aug-18-2021,4.093
Aug-19-2021,4.11125
Aug-20-2021,4.108
Aug-23-2021,4.1158
Aug-24-2021,4.08535
Aug-25-2021,4.0954
Aug-26-2021,4.096
Aug-27-2021,4.07195
Aug-30-2021,4.0723
Aug-31-2021,4.0721
Sep-01-2021,4.07395
Sep-02-2021,4.0967
Sep-03-2021,4.0862
Sep-06-2021,4.0998
Sep-07-2021,4.1047
Sep-08-2021,4.09075
Sep-09-2021,4.096
Sep-10-2021,4.0989
Sep-13-2021,4.1036
Sep-14-2021,4.0992
Sep-15-2021,4.1024
Sep-16-2021,4.11295
Sep-17-2021,4.1083
Sep-20-2021,4.1202
Sep-21-2021,4.1071
Sep-22-2021,4.1056
Sep-23-2021,4.1111
Sep-24-2021,4.105
Sep-27-2021,4.1136
Sep-28-2021,4.1241
Sep-29-2021,4.126
Sep-30-2021,4.1276
Oct-01-2021,4.1246
Oct-04-2021,4.1305
Oct-05-2021,4.133
Oct-06-2021,4.1315
Oct-07-2021,4.1375
Oct-08-2021,4.106
Oct-11-2021,4.0935
Oct-12-2021,4.0898
Oct-13-2021,4.1223
Oct-14-2021,3.9433
Oct-15-2021,4.0249
Oct-18-2021,3.951
Oct-19-2021,3.9428
Oct-20-2021,3.9418
Oct-21-2021,3.9591
Oct-22-2021,3.9974
Oct-25-2021,3.9716
Oct-26-2021,3.9813
Oct-27-2021,3.9824
Oct-28-2021,3.971
Oct-29-2021,3.9908
Nov-01-2021,3.9922
Nov-02-2021,4.0082
Nov-03-2021,4.0128
Nov-04-2021,4.0041
Nov-05-2021,4.0133
Nov-08-2021,4.0101
Nov-09-2021,4.0155
Nov-10-2021,4.0233
Nov-11-2021,4.01675
Nov-12-2021,4.0213
Nov-15-2021,3.9968
Nov-16-2021,3.9966
Nov-17-2021,4.002
Nov-18-2021,4.0181
Nov-19-2021,4.02
Nov-22-2021,4.0172
Nov-23-2021,4.0095
Nov-24-2021,4.0225
Nov-25-2021,4.0233
Nov-26-2021,4.0278
Nov-29-2021,4.0526
Nov-30-2021,4.0658
Dec-01-2021,4.0641
Dec-02-2021,4.0683
Dec-03-2021,4.0732
Dec-06-2021,4.0816
Dec-07-2021,4.0733
Dec-08-2021,4.0776
Dec-09-2021,4.0853
Dec-10-2021,4.067
Dec-13-2021,4.0644
Dec-14-2021,4.05035
Dec-15-2021,4.0502
Dec-16-2021,4.0368
Dec-17-2021,4.0338
Dec-20-2021,4.048
Dec-21-2021,4.05435
Dec-22-2021,4.0472
Dec-23-2021,4.0164
Dec-24-2021,3.9926
Dec-27-2021,3.9848
Dec-28-2021,3.9471
Dec-29-2021,3.9671
Dec-30-2021,3.987
Dec-31-2021,3.9917
Jan-03-2022,3.99815
Jan-04-2022,3.9519
Jan-05-2022,3.9551
Jan-06-2022,3.972
Jan-07-2022,3.9473
Jan-10-2022,3.9228
Jan-11-2022,3.9198
Jan-12-2022,3.8881
Jan-13-2022,3.898
Jan-14-2022,3.873
Jan-17-2022,3.8497
Jan-18-2022,3.8469
Jan-19-2022,3.8643
Jan-20-2022,3.8459
Jan-21-2022,3.8127
Jan-24-2022,3.8357
Jan-25-2022,3.8506
Jan-26-2022,3.8403
Jan-27-2022,3.8372
Jan-28-2022,3.8473
Jan-31-2022,3.8389
Feb-01-2022,3.8777
Feb-02-2022,3.856
Feb-03-2022,3.8567
Feb-04-2022,3.8735
Feb-07-2022,3.8376
Feb-08-2022,3.8344
Feb-09-2022,3.8183
Feb-10-2022,3.7913
Feb-11-2022,3.7594
Feb-14-2022,3.7914
Feb-15-2022,3.8014
Feb-16-2022,3.7685
Feb-17-2022,3.7455
Feb-18-2022,3.7058
Feb-21-2022,3.7396
Feb-22-2022,3.7335
Feb-23-2022,3.7147
Feb-24-2022,3.7977
Feb-25-2022,3.784
Feb-28-2022,3.7933
Mar-01-2022,3.7791
Mar-02-2022,3.7645
Mar-03-2022,3.7392
Mar-04-2022,3.7461
Mar-07-2022,3.749
Mar-08-2022,3.7279
Mar-09-2022,3.7093
Mar-10-2022,3.7152
Mar-11-2022,3.684
Mar-14-2022,3.7171
Mar-15-2022,3.74
Mar-16-2022,3.7282
Mar-17-2022,3.7387
Mar-18-2022,3.7675
Mar-21-2022,3.7869
Mar-22-2022,3.7721
Mar-23-2022,3.765
Mar-24-2022,3.7409
Mar-25-2022,3.7234
Mar-28-2022,3.7334
Mar-29-2022,3.7224
Mar-30-2022,3.7283
Mar-31-2022,3.715
Apr-01-2022,3.6782
Apr-04-2022,3.6221
Apr-05-2022,3.7026
Apr-06-2022,3.7068
Apr-07-2022,3.7122
Apr-08-2022,3.7187
Apr-11-2022,3.7108
Apr-12-2022,3.7
Apr-13-2022,3.7406
Apr-14-2022,3.7316
Apr-15-2022,3.7309
Apr-18-2022,3.7339
Apr-19-2022,3.7356
Apr-20-2022,3.7062
Apr-21-2022,3.7317
Apr-22-2022,3.7683
Apr-25-2022,3.8186
Apr-26-2022,3.8123
Apr-27-2022,3.8274
Apr-28-2022,3.8481
Apr-29-2022,3.8412
May-02-2022,3.8498
May-03-2022,3.8141
May-04-2022,3.8043
May-05-2022,3.7809
May-06-2022,3.8013
May-09-2022,3.8292
May-10-2022,3.8184
May-11-2022,3.7836
May-12-2022,3.7997
May-13-2022,3.7745
May-16-2022,3.7854
May-17-2022,3.7551
May-18-2022,3.7698
May-19-2022,3.7536
May-20-2022,3.7253
May-23-2022,3.7104
May-24-2022,3.723
May-25-2022,3.6822
May-26-2022,3.6454
May-27-2022,3.6681
May-30-2022,3.6699
May-31-2022,3.7005
Jun-01-2022,3.7228
Jun-02-2022,3.7151
Jun-03-2022,3.7089
Jun-06-2022,3.7324
Jun-07-2022,3.754
Jun-08-2022,3.749
Jun-09-2022,3.7535
Jun-10-2022,3.7714
Jun-13-2022,3.7945
Jun-14-2022,3.7475
Jun-15-2022,3.7313
Jun-16-2022,3.7219
Jun-17-2022,3.7234
Jun-20-2022,3.7203
Jun-21-2022,3.7204
Jun-22-2022,3.7307
Jun-23-2022,3.7475
Jun-24-2022,3.7812
Jun-27-2022,3.7834
Jun-28-2022,3.7827
Jun-29-2022,3.7807
Jun-30-2022,3.7946
Jul-01-2022,3.8565
Jul-04-2022,3.8227
Jul-05-2022,3.8625
Jul-06-2022,3.8803
Jul-07-2022,3.8881
Jul-08-2022,3.9051
Jul-11-2022,3.9404
Jul-12-2022,3.964
Jul-13-2022,3.9515
Jul-14-2022,3.9675
Jul-15-2022,3.8801
Jul-18-2022,3.8894
Jul-19-2022,3.8594
Jul-20-2022,3.885
Jul-21-2022,3.9133
Jul-22-2022,3.9114
Jul-25-2022,3.9105
Jul-26-2022,3.9191
Jul-27-2022,3.92
Jul-28-2022,3.9233
Jul-29-2022,3.9279
Aug-01-2022,3.8822
Aug-02-2022,3.9141
Aug-03-2022,3.9127
Aug-04-2022,3.8831
Aug-05-2022,3.881
Aug-08-2022,3.9001
Aug-09-2022,3.9311
Aug-10-2022,3.8831
Aug-11-2022,3.883
Aug-12-2022,3.8707
Aug-15-2022,3.8531
Aug-16-2022,3.8687
Aug-17-2022,3.8438
Aug-18-2022,3.8325
Aug-19-2022,3.8565
Aug-22-2022,3.8784
Aug-23-2022,3.8581
Aug-24-2022,3.8604
Aug-25-2022,3.8499
Aug-26-2022,3.8429
Aug-29-2022,3.8327
Aug-30-2022,3.8232
Aug-31-2022,3.835
Sep-01-2022,3.8601
Sep-02-2022,3.864
Sep-05-2022,3.8841
Sep-06-2022,3.8963
Sep-07-2022,3.8914
Sep-08-2022,3.87
Sep-09-2022,3.8774
Sep-12-2022,3.8509
Sep-13-2022,3.8551
Sep-14-2022,3.8738
Sep-15-2022,3.888
Sep-16-2022,3.8738
Sep-19-2022,3.8627
Sep-20-2022,3.8781
Sep-21-2022,3.9057
