Fecha;Valor
16Mar20;3.556428571
17Mar20;3.551428571
18Mar20;3.573166667
19Mar20;3.5635
20Mar20;3.528833333
23Mar20;3.539666667
24Mar20;3.521666667
25Mar20;3.493833333
26Mar20;3.426166667
27Mar20;3.4255
30Mar20;3.441333333
31Mar20;3.440166667
01Abr20;3.467333333
02Abr20;3.455666667
03Abr20;3.4585
06Abr20;3.412833333
07Abr20;3.372833333
08Abr20;3.357333333
13Abr20;3.381833333
14Abr20;3.395333333
15Abr20;3.419333333
16Abr20;3.413
17Abr20;3.4065
20Abr20;3.409833333
21Abr20;3.396
22Abr20;3.376
23Abr20;3.369666667
24Abr20;3.386333333
27Abr20;3.4015
28Abr20;3.386333333
29Abr20;3.371666667
30Abr20;3.381166667
04May20;3.39
05May20;3.392166667
06May20;3.409166667
07May20;3.406166667
08May20;3.398166667
11May20;3.421333333
12May20;3.4265
13May20;3.439833333
14May20;3.454666667
15May20;3.444166667
18May20;3.421333333
19May20;3.430166667
20May20;3.405333333
21May20;3.406
22May20;3.428833333
25May20;3.4275
26May20;3.426333333
27May20;3.453
28May20;3.4415
29May20;3.432333333
01Jun20;3.4195
02Jun20;3.401333333
03Jun20;3.392
04Jun20;3.428
05Jun20;3.431166667
08Jun20;3.441666667
09Jun20;3.448166667
10Jun20;3.435166667
11Jun20;3.457666667
12Jun20;3.463666667
15Jun20;3.486
16Jun20;3.476333333
17Jun20;3.495833333
18Jun20;3.517333333
19Jun20;3.511333333
22Jun20;3.4965
23Jun20;3.519666667
24Jun20;3.5265
25Jun20;3.508833333
26Jun20;3.523666667
30Jun20;3.543833333
01Jul20;3.535833333
02Jul20;3.519333333
03Jul20;3.532666667
06Jul20;3.547833333
07Jul20;3.546
08Jul20;3.533333333
09Jul20;3.5185
10Jul20;3.506666667
13Jul20;3.5
14Jul20;3.502666667
15Jul20;3.499166667
16Jul20;3.501333333
17Jul20;3.515333333
20Jul20;3.515666667
21Jul20;3.493833333
22Jul20;3.504833333
23Jul20;3.5205
24Jul20;3.535333333
27Jul20;3.526666667
29Jul20;3.509666667
30Jul20;3.510666667
31Jul20;3.53
03Ago20;3.5445
04Ago20;3.551666667
05Ago20;3.548166667
06Ago20;3.5475
07Ago20;3.551833333
10Ago20;3.560666667
11Ago20;3.562666667
12Ago20;3.568333333
13Ago20;3.572833333
14Ago20;3.576
17Ago20;3.58
18Ago20;3.5735
19Ago20;3.562666667
20Ago20;3.577
21Ago20;3.584833333
24Ago20;3.583666667
25Ago20;3.592
26Ago20;3.583666667
27Ago20;3.568166667
28Ago20;3.5395
31Ago20;3.545833333
01Set20;3.526333333
02Set20;3.533333333
03Set20;3.5425
04Set20;3.548833333
07Set20;3.538166667
08Set20;3.545666667
09Set20;3.5355
10Set20;3.542166667
11Set20;3.5725
14Set20;3.569333333
15Set20;3.5495
16Set20;3.539333333
17Set20;3.534333333
18Set20;3.525833333
21Set20;3.548166667
22Set20;3.554666667
23Set20;3.571333333
24Set20;3.583333333
25Set20;3.594833333
28Set20;3.591166667
29Set20;3.595666667
30Set20;3.600166667
01Oct20;3.604666667
02Oct20;3.62
05Oct20;3.607666667
06Oct20;3.584166667
