Date;SOB 31;MEX 31;;;
17/06/2011;7.26;#N/A N/A;;;
24/06/2011;7.21;#N/A N/A;;;
1/07/2011;7.18;#N/A N/A;;;
8/07/2011;7.13;#N/A N/A;;;
15/07/2011;7.13;#N/A N/A;;;
22/07/2011;6.93;#N/A N/A;;;
29/07/2011;6.87;#N/A N/A;;;
5/08/2011;6.78;#N/A N/A;;;
12/08/2011;6.65;#N/A N/A;;;
19/08/2011;6.45;#N/A N/A;;;
26/08/2011;6.36;#N/A N/A;;;
2/09/2011;6.21;#N/A N/A;;;
9/09/2011;6.04;7.17;;;
16/09/2011;6.28;7.43;;;
23/09/2011;6.83;7.74;;;
30/09/2011;6.72;7.58;;;
7/10/2011;6.61;7.65;;;
14/10/2011;6.31;7.30;;;
21/10/2011;6.36;7.47;;;
28/10/2011;6.29;7.26;;;
4/11/2011;6.41;7.17;;;
11/11/2011;6.31;7.33;;;
18/11/2011;6.34;7.62;;;
25/11/2011;6.42;7.84;;;
2/12/2011;6.33;7.44;;;
9/12/2011;6.36;7.38;;;
16/12/2011;6.44;7.63;;;
23/12/2011;6.46;7.34;;;
30/12/2011;6.46;7.47;;;
6/01/2012;6.43;7.36;;;
13/01/2012;6.58;7.44;;;
20/01/2012;6.54;7.17;;;
27/01/2012;6.48;7.02;;;
3/02/2012;6.39;7.12;;;
10/02/2012;6.33;7.28;;;
17/02/2012;6.27;7.19;;;
24/02/2012;6.21;7.37;;;
2/03/2012;6.19;7.32;;;
9/03/2012;6.19;7.18;;;
16/03/2012;6.24;7.28;;;
23/03/2012;6.27;7.24;;;
30/03/2012;6.23;7.24;;;
6/04/2012;6.21;7.24;;;
13/04/2012;6.12;7.10;;;
20/04/2012;6.10;7.00;;;
27/04/2012;5.95;7.09;;;
4/05/2012;5.70;6.97;;;
11/05/2012;5.94;7.11;;;
18/05/2012;6.04;7.09;;;
25/05/2012;6.19;7.15;;;
1/06/2012;6.13;7.10;;;
8/06/2012;5.98;6.90;;;
15/06/2012;5.94;6.86;;;
22/06/2012;5.74;6.63;;;
29/06/2012;5.53;6.50;;;
6/07/2012;5.37;6.11;;;
13/07/2012;5.07;6.02;;;
20/07/2012;5.20;5.80;;;
27/07/2012;5.35;6.09;;;
3/08/2012;5.20;6.12;;;
10/08/2012;5.26;6.21;;;
17/08/2012;5.37;6.41;;;
24/08/2012;5.26;6.23;;;
31/08/2012;5.23;6.22;;;
7/09/2012;5.25;6.36;;;
14/09/2012;5.30;6.63;;;
21/09/2012;5.23;6.40;;;
28/09/2012;5.25;6.28;;;
5/10/2012;5.25;6.17;;;
12/10/2012;5.29;6.13;;;
19/10/2012;5.11;6.29;;;
26/10/2012;5.13;6.36;;;
2/11/2012;5.12;6.34;;;
9/11/2012;5.14;6.24;;;
16/11/2012;5.05;6.24;;;
23/11/2012;5.06;6.38;;;
30/11/2012;4.94;6.33;;;
7/12/2012;4.81;6.26;;;
14/12/2012;4.82;6.25;;;
21/12/2012;4.82;6.25;;;
28/12/2012;4.79;6.18;;;
4/01/2013;4.80;6.26;;;
11/01/2013;4.68;6.17;;;
18/01/2013;4.64;5.97;;;
25/01/2013;4.77;5.89;;;
1/02/2013;4.71;5.90;;;
8/02/2013;4.75;5.91;;;
15/02/2013;4.73;5.84;;;
22/02/2013;4.75;5.79;;;
1/03/2013;4.83;5.78;;;
8/03/2013;4.91;5.71;;;
15/03/2013;4.86;5.61;;;
22/03/2013;4.88;5.67;;;
29/03/2013;4.88;5.65;;;
5/04/2013;4.87;5.50;;;
12/04/2013;4.76;5.39;;;
19/04/2013;4.48;5.19;;;
26/04/2013;4.77;5.08;;;
3/05/2013;4.62;5.13;;;
10/05/2013;4.63;5.23;;;
17/05/2013;4.64;5.48;;;
24/05/2013;5.09;5.87;;;
31/05/2013;5.75;6.21;;;
7/06/2013;5.78;6.24;;;
14/06/2013;5.77;6.15;;;
21/06/2013;6.51;6.97;;;
28/06/2013;6.52;6.75;;;
5/07/2013;6.62;6.90;;;
12/07/2013;6.08;6.61;;;
19/07/2013;6.01;6.57;;;
26/07/2013;6.14;6.77;;;
2/08/2013;6.21;6.72;;;
9/08/2013;6.42;6.56;;;
16/08/2013;6.71;6.95;;;
23/08/2013;6.76;6.98;;;
30/08/2013;6.98;7.16;;;
6/09/2013;7.08;7.19;;;
13/09/2013;6.67;7.02;;;
20/09/2013;6.19;6.77;;;
27/09/2013;6.29;6.87;;;
4/10/2013;6.42;6.91;;;
11/10/2013;6.45;6.93;;;
18/10/2013;6.15;6.66;;;
25/10/2013;6.09;6.62;;;
1/11/2013;6.25;7.00;;;
8/11/2013;6.64;7.23;;;
15/11/2013;6.66;7.27;;;
22/11/2013;6.71;7.36;;;
29/11/2013;6.68;7.32;;;
6/12/2013;6.80;7.33;;;
13/12/2013;6.92;7.33;;;
20/12/2013;6.90;7.15;;;
27/12/2013;6.95;7.33;;;
3/01/2014;6.94;7.19;;;
10/01/2014;6.96;7.27;;;
17/01/2014;6.99;7.23;;;
24/01/2014;7.18;7.37;;;
31/01/2014;7.48;7.45;;;
7/02/2014;7.55;7.26;;;
14/02/2014;7.50;7.19;;;
21/02/2014;7.58;7.15;;;
28/02/2014;7.16;7.05;;;
7/03/2014;7.04;7.06;;;
14/03/2014;7.18;6.94;;;
21/03/2014;7.17;6.98;;;
28/03/2014;6.96;6.83;;;
4/04/2014;6.61;6.99;;;
11/04/2014;6.54;6.88;;;
18/04/2014;6.80;6.88;;;
25/04/2014;6.70;6.95;;;
2/05/2014;6.68;6.92;;;
9/05/2014;6.21;6.71;;;
16/05/2014;6.26;6.59;;;
23/05/2014;6.28;6.59;;;
30/05/2014;6.37;6.52;;;
6/06/2014;6.37;6.33;;;
13/06/2014;6.35;6.36;;;
20/06/2014;6.23;6.41;;;
27/06/2014;6.20;6.35;;;
4/07/2014;6.18;6.42;;;
11/07/2014;5.87;6.37;;;
18/07/2014;5.91;6.34;;;
25/07/2014;5.98;6.30;;;
1/08/2014;6.02;6.50;;;
8/08/2014;6.07;6.47;;;
15/08/2014;5.94;6.33;;;
22/08/2014;6.07;6.43;;;
29/08/2014;6.02;6.37;;;
5/09/2014;5.92;6.37;;;
12/09/2014;6.14;6.57;;;
19/09/2014;6.27;6.55;;;
26/09/2014;6.42;6.69;;;
3/10/2014;6.48;6.58;;;
10/10/2014;6.25;6.53;;;
17/10/2014;6.17;6.55;;;
24/10/2014;6.27;6.52;;;
31/10/2014;6.24;6.59;;;
7/11/2014;6.40;6.52;;;
14/11/2014;6.41;6.53;;;
21/11/2014;6.33;6.48;;;
28/11/2014;6.19;6.42;;;
5/12/2014;6.13;6.67;;;
12/12/2014;6.31;6.73;;;
19/12/2014;6.31;6.37;;;
26/12/2014;6.32;6.39;;;
2/01/2015;6.32;6.37;;;
9/01/2015;6.31;6.11;;;
16/01/2015;6.19;5.83;;;
23/01/2015;5.97;5.70;;;
30/01/2015;5.97;5.66;;;
6/02/2015;5.73;6.05;;;
13/02/2015;5.86;6.14;;;
20/02/2015;6.12;6.10;;;
27/02/2015;6.10;6.09;;;
6/03/2015;6.22;6.46;;;
13/03/2015;6.37;6.54;;;
20/03/2015;6.51;6.14;;;
27/03/2015;6.71;6.31;;;
3/04/2015;6.54;6.25;;;
10/04/2015;6.45;6.20;;;
17/04/2015;6.52;6.14;;;
24/04/2015;6.58;6.22;;;
1/05/2015;6.60;6.31;;;
8/05/2015;6.78;6.42;;;
15/05/2015;6.73;6.37;;;
22/05/2015;6.81;6.44;;;
29/05/2015;6.81;6.45;;;
5/06/2015;6.98;6.75;;;
12/06/2015;6.98;6.63;;;
19/06/2015;7.01;6.53;;;
26/06/2015;7.14;6.63;;;
3/07/2015;7.29;6.56;;;
10/07/2015;7.27;6.50;;;
17/07/2015;7.06;6.50;;;
24/07/2015;7.06;6.57;;;
31/07/2015;7.10;6.46;;;
7/08/2015;7.05;6.44;;;
14/08/2015;7.19;6.41;;;
21/08/2015;7.41;6.46;;;
28/08/2015;7.69;6.46;;;
4/09/2015;7.76;6.55;;;
11/09/2015;7.90;6.57;;;
18/09/2015;7.68;6.47;;;
25/09/2015;7.74;6.59;;;
2/10/2015;7.74;6.47;;;
9/10/2015;7.76;6.44;;;
16/10/2015;7.60;6.38;;;
23/10/2015;7.37;6.44;;;
30/10/2015;7.34;6.49;;;
6/11/2015;7.58;6.58;;;
13/11/2015;7.40;6.62;;;
20/11/2015;7.29;6.58;;;
27/11/2015;7.28;6.61;;;
4/12/2015;7.31;6.67;;;
11/12/2015;7.41;6.81;;;
18/12/2015;7.60;6.63;;;
25/12/2015;7.59;6.63;;;
1/01/2016;7.64;6.67;;;
8/01/2016;7.69;6.60;;;
15/01/2016;7.77;6.69;;;
22/01/2016;7.85;6.75;;;
29/01/2016;8.01;6.54;;;
5/02/2016;7.82;6.57;;;
12/02/2016;7.92;6.61;;;
19/02/2016;7.82;6.54;;;
26/02/2016;7.75;6.58;;;
4/03/2016;7.53;6.63;;;
11/03/2016;7.26;6.67;;;
18/03/2016;7.23;6.52;;;
25/03/2016;7.37;6.57;;;
1/04/2016;7.20;6.44;;;
8/04/2016;7.43;6.37;;;
15/04/2016;6.86;6.23;;;
22/04/2016;6.74;6.37;;;
29/04/2016;6.74;6.30;;;
6/05/2016;6.74;6.36;;;
13/05/2016;6.47;6.41;;;
20/05/2016;6.38;6.58;;;
27/05/2016;6.71;6.64;;;
3/06/2016;6.70;6.64;;;
10/06/2016;6.49;6.58;;;
17/06/2016;6.49;6.61;;;
24/06/2016;6.49;6.53;;;
1/07/2016;6.49;6.28;;;
8/07/2016;5.92;6.18;;;
15/07/2016;5.93;6.36;;;
22/07/2016;5.91;6.22;;;
29/07/2016;5.91;6.25;;;
5/08/2016;5.91;6.30;;;
12/08/2016;5.91;6.20;;;
19/08/2016;5.91;6.12;;;
26/08/2016;5.91;6.11;;;
2/09/2016;6.04;6.15;;;
9/09/2016;6.04;6.31;;;
16/09/2016;6.26;6.40;;;
23/09/2016;6.14;6.42;;;
30/09/2016;6.18;6.38;;;
7/10/2016;6.13;6.45;;;
14/10/2016;6.03;6.40;;;
21/10/2016;6.04;6.41;;;
28/10/2016;6.02;6.63;;;
4/11/2016;6.01;6.66;;;
11/11/2016;6.01;7.45;;;
18/11/2016;6.01;7.55;;;
25/11/2016;6.01;7.65;;;
2/12/2016;6.01;7.64;;;
9/12/2016;6.56;7.64;;;
16/12/2016;6.65;7.64;;;
23/12/2016;6.68;7.68;;;
30/12/2016;6.71;7.74;;;
6/01/2017;6.78;7.88;;;
13/01/2017;6.61;7.96;;;
20/01/2017;6.67;8.00;;;
27/01/2017;6.50;7.91;;;
3/02/2017;6.40;7.83;;;
10/02/2017;6.46;7.61;;;
17/02/2017;6.48;7.77;;;
24/02/2017;6.41;7.58;;;
3/03/2017;6.47;7.63;;;
10/03/2017;6.47;7.66;;;
17/03/2017;6.26;7.52;;;
24/03/2017;6.21;7.30;;;
31/03/2017;6.15;7.29;;;
7/04/2017;6.13;7.34;;;
14/04/2017;6.20;7.40;;;
21/04/2017;6.15;7.44;;;
28/04/2017;6.09;7.43;;;
5/05/2017;5.91;7.39;;;
12/05/2017;5.90;7.37;;;
19/05/2017;5.90;7.36;;;
26/05/2017;5.93;7.39;;;
2/06/2017;5.84;7.35;;;
9/06/2017;5.82;7.16;;;
16/06/2017;5.84;6.93;;;
23/06/2017;5.84;6.87;;;
30/06/2017;5.84;6.97;;;
7/07/2017;6.11;7.04;;;
14/07/2017;6.04;7.02;;;
21/07/2017;5.86;7.07;;;
28/07/2017;5.83;7.02;;;
4/08/2017;5.70;7.03;;;
11/08/2017;5.77;7.00;;;
18/08/2017;5.75;6.97;;;
25/08/2017;5.71;6.99;;;
1/09/2017;5.63;7.03;;;
8/09/2017;5.66;6.95;;;
15/09/2017;5.61;7.00;;;
22/09/2017;5.49;6.98;;;
29/09/2017;5.60;7.04;;;
6/10/2017;5.61;7.22;;;
13/10/2017;5.47;7.33;;;
20/10/2017;5.50;7.27;;;
27/10/2017;5.64;7.36;;;
3/11/2017;5.62;7.37;;;
10/11/2017;5.55;7.38;;;
17/11/2017;5.57;7.41;;;
24/11/2017;5.55;7.36;;;
1/12/2017;5.51;7.36;;;
8/12/2017;5.48;7.39;;;
15/12/2017;5.72;7.53;;;
22/12/2017;5.56;7.75;;;
29/12/2017;5.48;7.72;;;
5/01/2018;5.27;7.56;;;
12/01/2018;5.20;7.72;;;
19/01/2018;5.07;7.69;;;
26/01/2018;5.01;7.62;;;
2/02/2018;4.98;7.71;;;
9/02/2018;5.10;7.80;;;
16/02/2018;5.09;7.79;;;
23/02/2018;5.18;7.71;;;
2/03/2018;5.07;7.72;;;
9/03/2018;5.11;7.69;;;
16/03/2018;5.22;7.67;;;
23/03/2018;5.13;7.62;;;
30/03/2018;5.13;7.46;;;
6/04/2018;5.18;7.36;;;
13/04/2018;5.32;7.47;;;
20/04/2018;5.38;7.59;;;
27/04/2018;5.55;7.57;;;
4/05/2018;5.54;7.65;;;
11/05/2018;5.53;7.68;;;
18/05/2018;5.83;7.86;;;
25/05/2018;5.84;7.73;;;
1/06/2018;5.89;7.86;;;
8/06/2018;5.87;7.87;;;
15/06/2018;5.91;8.00;;;
22/06/2018;5.97;7.78;;;
29/06/2018;5.90;7.64;;;
6/07/2018;5.80;7.77;;;
13/07/2018;5.76;7.85;;;
20/07/2018;5.79;7.77;;;
27/07/2018;5.73;7.80;;;
